Date,Open,High,Low,Close,Adj Close,Volume
2023-04-17,3235.000000,3254.000000,3206.000000,3229.000000,3193.749023,539975
2023-04-18,3228.649902,3278.000000,3215.850098,3263.550049,3227.921875,577513
2023-04-19,3263.949951,3300.000000,3258.100098,3289.600098,3253.687500,646164
2023-04-20,3308.699951,3308.699951,3220.050049,3246.949951,3211.502930,483671
2023-04-21,3240.000000,3259.949951,3194.100098,3200.699951,3165.757813,443737
2023-04-24,3204.000000,3217.449951,3158.100098,3182.800049,3148.053467,379317
2023-04-25,3175.000000,3246.500000,3156.149902,3217.949951,3182.819580,574542
2023-04-26,3230.000000,3280.000000,3225.550049,3248.350098,3212.887939,881684
2023-04-27,3248.300049,3270.399902,3236.250000,3263.550049,3227.921875,464406
2023-04-28,3275.000000,3305.000000,3265.350098,3301.100098,3265.062012,416242
2023-05-02,3326.949951,3383.800049,3325.000000,3356.149902,3319.510742,838718
2023-05-03,3367.899902,3367.899902,3321.199951,3348.350098,3311.796143,577763
2023-05-04,3341.000000,3382.449951,3321.000000,3339.300049,3302.844971,325535
2023-05-05,3339.300049,3392.050049,3324.750000,3355.100098,3318.472412,518154
2023-05-08,3371.000000,3407.399902,3360.100098,3392.899902,3355.859619,322909
2023-05-09,3410.000000,3410.000000,3371.350098,3381.899902,3344.979736,347387
2023-05-10,3396.600098,3422.800049,3354.800049,3416.750000,3379.449219,386746
2023-05-11,3424.850098,3424.850098,3387.050049,3405.300049,3368.124268,408412
2023-05-12,3520.000000,3647.500000,3514.949951,3626.350098,3586.761230,3665298
2023-05-15,3630.000000,3705.000000,3630.000000,3658.500000,3618.560059,1269701
2023-05-16,3669.000000,3685.000000,3610.000000,3633.199951,3593.536377,1035562
2023-05-17,3624.000000,3636.300049,3584.199951,3628.750000,3589.135010,755786
2023-05-18,3636.000000,3649.949951,3570.449951,3576.149902,3537.109131,1235091
2023-05-19,3566.149902,3579.000000,3511.500000,3570.899902,3531.916260,762689
