Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,1700.000000,1700.900024,1655.000000,1658.550049,1656.808105,1870289
2022-10-27,1671.650024,1676.550049,1621.000000,1630.949951,1629.236938,2177395
2022-10-28,1639.150024,1660.500000,1635.000000,1653.400024,1651.663452,2115388
2022-10-31,1665.000000,1689.849976,1662.150024,1687.500000,1685.727539,2217631
2022-11-01,1692.000000,1714.699951,1691.000000,1709.050049,1707.255005,2002317
2022-11-02,1705.000000,1722.500000,1699.250000,1710.400024,1708.603638,2036615
2022-11-03,1697.900024,1732.500000,1694.000000,1723.500000,1721.689697,2205874
2022-11-04,1722.900024,1805.000000,1721.050049,1800.699951,1798.808594,6981242
2022-11-07,1813.199951,1817.900024,1765.550049,1778.050049,1776.182617,2464569
2022-11-09,1797.699951,1798.000000,1745.550049,1752.699951,1750.859131,1762741
2022-11-10,1745.000000,1756.900024,1694.000000,1700.349976,1698.564087,2030748
2022-11-11,1740.000000,1748.000000,1707.349976,1719.250000,1717.444336,1671510
2022-11-14,1724.000000,1735.000000,1708.150024,1718.349976,1716.545166,1459293
2022-11-15,1723.400024,1729.800049,1696.300049,1708.500000,1706.705566,1401141
2022-11-16,1713.699951,1714.500000,1675.000000,1685.650024,1683.879517,2040699
2022-11-17,1685.599976,1699.949951,1660.199951,1664.599976,1662.851685,1875515
2022-11-18,1668.000000,1674.650024,1641.199951,1654.400024,1652.662354,1581747
2022-11-21,1654.400024,1657.699951,1625.000000,1635.849976,1634.131836,1943750
2022-11-22,1635.050049,1659.900024,1632.000000,1643.349976,1641.623901,1508906
2022-11-23,1651.599976,1656.000000,1630.050049,1636.199951,1634.481445,1837952
2022-11-24,1639.000000,1647.449951,1620.000000,1634.000000,1632.283813,1660403
2022-11-25,1634.000000,1646.949951,1624.500000,1633.699951,1631.984131,1140578
2022-11-28,1630.000000,1661.900024,1628.849976,1652.849976,1651.113892,2005182
2022-11-29,1649.000000,1652.849976,1630.050049,1632.000000,1630.285889,1346735
2022-11-30,1634.199951,1644.650024,1623.300049,1626.500000,1624.791626,2900845
2022-12-01,1634.800049,1642.500000,1624.199951,1638.800049,1637.078857,2111362
2022-12-02,1632.199951,1653.000000,1625.250000,1642.650024,1640.924683,1682841
2022-12-05,1650.000000,1655.000000,1631.400024,1634.199951,1632.483521,1383542
2022-12-06,1630.000000,1646.900024,1628.000000,1635.250000,1633.532471,1177485
2022-12-07,1635.400024,1642.000000,1593.000000,1606.699951,1605.012451,2376490
2022-12-08,1610.000000,1621.800049,1600.199951,1618.599976,1616.899902,1161239
2022-12-09,1622.000000,1626.949951,1582.000000,1598.599976,1596.920898,1766412
2022-12-12,1586.150024,1603.949951,1570.099976,1592.099976,1590.427734,1365732
2022-12-13,1600.099976,1616.900024,1591.250000,1611.449951,1609.757446,1279634
2022-12-14,1619.750000,1627.900024,1613.300049,1623.050049,1621.345337,1137059
2022-12-15,1620.000000,1631.699951,1600.000000,1604.900024,1603.214355,1041690
2022-12-16,1599.000000,1610.000000,1581.150024,1587.099976,1585.432983,1533418
2022-12-19,1595.050049,1627.000000,1590.150024,1619.050049,1617.349609,1508476
2022-12-20,1614.949951,1618.500000,1593.050049,1615.650024,1613.953003,866377
2022-12-21,1618.500000,1629.250000,1575.500000,1581.800049,1580.138672,1397725
2022-12-22,1586.099976,1594.199951,1530.000000,1544.300049,1542.678101,2100618
2022-12-23,1524.300049,1543.300049,1492.000000,1497.050049,1495.477661,1673592
2022-12-26,1496.900024,1544.949951,1483.150024,1535.000000,1533.387817,1329547
2022-12-27,1545.000000,1551.400024,1518.000000,1537.699951,1536.084839,1102198
2022-12-28,1534.699951,1534.699951,1513.000000,1522.699951,1521.100586,1411078
2022-12-29,1515.000000,1522.000000,1503.050049,1511.699951,1510.112183,3417120
2022-12-30,1528.000000,1573.000000,1525.849976,1547.849976,1546.224243,2638505
2023-01-02,1550.000000,1560.000000,1528.550049,1552.500000,1550.869385,1061404
2023-01-03,1549.000000,1570.000000,1544.050049,1563.000000,1561.358398,1306648
2023-01-04,1562.000000,1567.349976,1540.400024,1547.849976,1546.224243,1036103
2023-01-05,1548.000000,1548.000000,1454.699951,1468.849976,1467.307251,5979381
2023-01-06,1473.550049,1473.550049,1423.000000,1430.349976,1428.847656,5207616
2023-01-09,1447.000000,1450.900024,1408.650024,1414.000000,1412.514771,4513767
2023-01-10,1429.000000,1429.000000,1391.000000,1413.300049,1411.815552,2903001
2023-01-11,1418.000000,1422.849976,1397.050049,1399.699951,1398.229858,2327598
2023-01-12,1405.000000,1414.949951,1379.000000,1387.800049,1386.342407,3168742
2023-01-13,1394.750000,1399.849976,1374.349976,1391.150024,1389.688965,3754686
2023-01-16,1398.150024,1418.449951,1379.199951,1383.900024,1382.446533,3480545
2023-01-17,1389.000000,1391.599976,1353.949951,1372.900024,1371.458008,3681802
2023-01-18,1379.800049,1380.000000,1365.000000,1367.300049,1365.863892,2589016
2023-01-19,1365.000000,1365.949951,1348.099976,1355.150024,1353.726685,1910318
2023-01-20,1360.000000,1361.650024,1326.550049,1333.199951,1331.799683,2091612
2023-01-23,1330.000000,1345.000000,1319.550049,1332.750000,1331.350220,1832743
2023-01-24,1336.250000,1349.000000,1329.550049,1332.699951,1331.300171,1311451
2023-01-25,1334.900024,1334.900024,1310.000000,1314.349976,1312.969482,1549899
2023-01-27,1315.099976,1336.150024,1302.050049,1314.199951,1312.819702,1829556
2023-01-30,1320.800049,1360.000000,1317.849976,1343.849976,1342.438477,4411750
2023-01-31,1354.400024,1357.150024,1323.800049,1342.449951,1341.039917,2213909
2023-02-01,1348.000000,1360.000000,1246.849976,1268.300049,1266.967896,4761664
