Date,Open,High,Low,Close,Adj Close,Volume,Company,Year,GDP Growth Rate,Interest Rate,Inflation Rate
2008-01-01,527.049988,527.049988,527.049988,527.049988,437.195465,0.0,Nestle India Ltd,2008,3.1,3.8,8.3
2008-01-02,527.049988,527.049988,527.049988,527.049988,437.195465,0.0,Nestle India Ltd,2008,3.1,3.8,8.3
2008-01-03,527.049988,527.049988,527.049988,527.049988,437.195465,0.0,Nestle India Ltd,2008,3.1,3.8,8.3
2008-01-04,527.049988,527.049988,527.049988,527.049988,437.195465,0.0,Nestle India Ltd,2008,3.1,3.8,8.3
2008-01-07,527.049988,527.049988,527.049988,527.049988,437.195465,0.0,Nestle India Ltd,2008,3.1,3.8,8.3
2008-01-08,527.049988,527.049988,527.049988,527.049988,437.195465,0.0,Nestle India Ltd,2008,3.1,3.8,8.3
2008-01-09,527.049988,527.049988,527.049988,527.049988,437.195465,0.0,Nestle India Ltd,2008,3.1,3.8,8.3
2008-01-10,527.049988,527.049988,527.049988,527.049988,437.195465,0.0,Nestle India Ltd,2008,3.1,3.8,8.3
2008-01-11,527.049988,527.049988,527.049988,527.049988,437.195465,0.0,Nestle India Ltd,2008,3.1,3.8,8.3
2008-01-14,527.049988,527.049988,527.049988,527.049988,437.195465,0.0,Nestle India Ltd,2008,3.1,3.8,8.3
2008-01-15,527.049988,527.049988,527.049988,527.049988,437.195465,0.0,Nestle India Ltd,2008,3.1,3.8,8.3
2008-01-16,527.049988,527.049988,527.049988,527.049988,437.195465,0.0,Nestle India Ltd,2008,3.1,3.8,8.3
2008-01-17,527.049988,527.049988,527.049988,527.049988,437.195465,0.0,Nestle India Ltd,2008,3.1,3.8,8.3
2008-01-18,527.049988,527.049988,527.049988,527.049988,437.195465,0.0,Nestle India Ltd,2008,3.1,3.8,8.3
2008-01-21,527.049988,527.049988,527.049988,527.049988,437.195465,0.0,Nestle India Ltd,2008,3.1,3.8,8.3
2008-01-22,527.049988,527.049988,527.049988,527.049988,437.195465,0.0,Nestle India Ltd,2008,3.1,3.8,8.3
2008-01-23,527.049988,527.049988,527.049988,527.049988,437.195465,0.0,Nestle India Ltd,2008,3.1,3.8,8.3
2008-01-24,527.049988,527.049988,527.049988,527.049988,437.195465,0.0,Nestle India Ltd,2008,3.1,3.8,8.3
2008-01-25,527.049988,527.049988,527.049988,527.049988,437.195465,0.0,Nestle India Ltd,2008,3.1,3.8,8.3
2008-01-28,527.049988,527.049988,527.049988,527.049988,437.195465,0.0,Nestle India Ltd,2008,3.1,3.8,8.3
2008-01-29,527.049988,527.049988,527.049988,527.049988,437.195465,0.0,Nestle India Ltd,2008,3.1,3.8,8.3
2008-01-30,527.049988,527.049988,527.049988,527.049988,437.195465,0.0,Nestle India Ltd,2008,3.1,3.8,8.3
2008-01-31,527.049988,527.049988,527.049988,527.049988,437.195465,0.0,Nestle India Ltd,2008,3.1,3.8,8.3
