Date,Open,High,Low,Close,Adj Close,Volume,Company,Year,GDP Growth Rate,Interest Rate,Inflation Rate
2008-01-01,70.666664,73.616669,70.033333,72.533333,50.27985,34574097.0,ITC Ltd,2008,3.1,3.8,8.3
2008-01-02,73.300003,75.800003,71.433334,73.699997,51.088581,54451458.0,ITC Ltd,2008,3.1,3.8,8.3
2008-01-03,73.333336,73.666664,70.683334,71.48333,49.551994,43376439.0,ITC Ltd,2008,3.1,3.8,8.3
2008-01-04,71.666664,73.400002,71.050003,73.116669,50.684212,35674392.0,ITC Ltd,2008,3.1,3.8,8.3
2008-01-07,70.566666,78.333336,70.566666,77.099998,53.445446,50391894.0,ITC Ltd,2008,3.1,3.8,8.3
2008-01-08,77.933334,79.800003,74.699997,77.0,53.376137,51046317.0,ITC Ltd,2008,3.1,3.8,8.3
2008-01-09,76.5,78.150002,75.366669,76.016663,52.694489,28704918.0,ITC Ltd,2008,3.1,3.8,8.3
2008-01-10,76.333336,76.666664,72.716667,73.266663,50.7882,18643011.0,ITC Ltd,2008,3.1,3.8,8.3
2008-01-11,73.333336,75.099998,71.466667,73.48333,50.938393,16105608.0,ITC Ltd,2008,3.1,3.8,8.3
2008-01-14,74.300003,75.333336,72.75,74.833336,51.874195,14814018.0,ITC Ltd,2008,3.1,3.8,8.3
2008-01-15,75.033333,75.633331,71.583336,72.116669,49.991024,10063080.0,ITC Ltd,2008,3.1,3.8,8.3
2008-01-16,71.666664,72.133331,67.050003,69.650002,48.281143,26526015.0,ITC Ltd,2008,3.1,3.8,8.3
2008-01-17,69.333336,73.98333,69.333336,72.583336,50.314518,17055318.0,ITC Ltd,2008,3.1,3.8,8.3
2008-01-18,72.583336,73.333336,69.333336,70.883331,49.13607,26528709.0,ITC Ltd,2008,3.1,3.8,8.3
2008-01-21,71.0,71.333336,63.333332,67.283333,46.640568,36215553.0,ITC Ltd,2008,3.1,3.8,8.3
2008-01-22,63.299999,66.666664,56.333332,60.966667,42.261883,39568419.0,ITC Ltd,2008,3.1,3.8,8.3
2008-01-23,63.0,66.666664,59.666664,64.949997,45.023113,36521202.0,ITC Ltd,2008,3.1,3.8,8.3
2008-01-24,65.666664,67.333336,60.066666,62.5,43.32478,18912393.0,ITC Ltd,2008,3.1,3.8,8.3
2008-01-25,64.666664,67.0,63.433334,66.150002,45.854946,16303758.0,ITC Ltd,2008,3.1,3.8,8.3
2008-01-28,63.333332,66.666664,63.333332,65.416664,45.3466,16525326.0,ITC Ltd,2008,3.1,3.8,8.3
2008-01-29,66.23333,68.616669,66.0,67.066666,46.490372,15252156.0,ITC Ltd,2008,3.1,3.8,8.3
2008-01-30,69.833336,69.833336,63.033333,66.449997,46.062904,15579168.0,ITC Ltd,2008,3.1,3.8,8.3
2008-01-31,67.0,67.0,63.833332,65.183334,45.18486,28441632.0,ITC Ltd,2008,3.1,3.8,8.3
2008-02-01,64.083336,69.133331,64.083336,68.383331,47.40308,11183304.0,ITC Ltd,2008,3.1,3.8,8.3
2008-02-04,69.333336,70.633331,67.216667,68.266663,47.322212,11466729.0,ITC Ltd,2008,3.1,3.8,8.3
2008-02-05,69.0,69.333336,67.116669,68.650002,47.587936,10737594.0,ITC Ltd,2008,3.1,3.8,8.3
2008-02-06,67.0,67.666664,65.466667,66.666664,46.2131,10057806.0,ITC Ltd,2008,3.1,3.8,8.3
2008-02-07,66.666664,67.083336,63.416664,64.033333,44.387684,14804169.0,ITC Ltd,2008,3.1,3.8,8.3
2008-02-08,64.333336,66.583336,63.716667,66.0,45.750957,17582610.0,ITC Ltd,2008,3.1,3.8,8.3
2008-02-11,66.0,66.599998,59.666664,61.799999,42.839535,15521421.0,ITC Ltd,2008,3.1,3.8,8.3
2008-02-12,61.633331,62.566666,60.700001,61.849998,42.874195,9486399.0,ITC Ltd,2008,3.1,3.8,8.3
2008-02-13,62.833332,65.916664,62.333332,65.416664,45.3466,16423575.0,ITC Ltd,2008,3.1,3.8,8.3
2008-02-14,66.699997,68.0,65.366669,66.416664,46.039799,12600858.0,ITC Ltd,2008,3.1,3.8,8.3
2008-02-15,64.966667,67.98333,64.966667,67.616669,46.871635,21821409.0,ITC Ltd,2008,3.1,3.8,8.3
2008-02-18,67.699997,70.48333,66.283333,69.933334,48.477535,22277769.0,ITC Ltd,2008,3.1,3.8,8.3
2008-02-19,69.0,71.0,67.416664,68.466667,47.46085,16149078.0,ITC Ltd,2008,3.1,3.8,8.3
2008-02-20,68.466667,68.5,66.349998,67.316666,46.663677,9931170.0,ITC Ltd,2008,3.1,3.8,8.3
2008-02-21,68.016663,68.333336,66.166664,67.116669,46.525036,8831406.0,ITC Ltd,2008,3.1,3.8,8.3
2008-02-22,66.333336,67.300003,66.333336,66.716667,46.247765,4636674.0,ITC Ltd,2008,3.1,3.8,8.3
2008-02-25,67.300003,68.300003,66.716667,67.283333,46.640568,8280402.0,ITC Ltd,2008,3.1,3.8,8.3
2008-02-26,67.333336,67.900002,66.800003,67.150002,46.548138,8260302.0,ITC Ltd,2008,3.1,3.8,8.3
2008-02-27,67.666664,67.933334,65.833336,67.449997,46.756096,17157789.0,ITC Ltd,2008,3.1,3.8,8.3
2008-02-28,66.0,67.900002,66.0,67.416664,46.733002,18721920.0,ITC Ltd,2008,3.1,3.8,8.3
