Date,Open,High,Low,Close,Adj Close,Volume,Company,Year,GDP Growth Rate,Interest Rate,Inflation Rate
2008-01-01,337.5,337.5,318.75,322.725006,318.604523,843920.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-01-02,328.75,351.25,321.524994,349.1875,344.729126,3057772.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-01-03,352.25,352.25,334.5,336.8125,332.512146,2198648.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-01-04,338.75,349.5,338.75,344.625,340.224854,1655156.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-01-07,337.5,359.5,330.774994,346.850006,342.421509,2422956.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-01-08,350.875,351.225006,322.850006,332.037506,327.798187,2099280.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-01-09,319.049988,335.375,319.049988,324.325012,320.184082,2689644.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-01-10,326.225006,334.674988,311.25,313.137512,309.139465,3028752.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-01-11,308.0,316.25,299.012512,308.412506,304.474731,4769996.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-01-14,308.412506,321.5,303.75,320.075012,315.988373,3642636.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-01-15,310.037506,329.5,310.037506,316.299988,312.261536,2389436.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-01-16,314.5,314.5,296.5,310.850006,306.881073,3118060.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-01-17,314.487488,322.112488,305.012512,315.625,311.595123,2699836.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-01-18,301.412506,315.0,275.0,281.649994,278.053986,4006992.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-01-21,280.0,284.975006,215.0,240.925003,237.848923,6409092.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-01-22,232.5,262.424988,200.0,252.824997,249.597,9209868.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-01-23,302.200012,302.200012,255.5,275.924988,272.402069,13171288.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-01-24,285.0,291.0,242.262497,263.225006,259.864166,5471736.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-01-25,235.012497,277.450012,235.012497,271.912506,268.440796,3396356.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-01-28,272.5,281.25,254.5,272.587494,269.107178,3311692.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-01-29,286.25,287.424988,252.75,272.024994,268.551819,3582596.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-01-30,262.575012,274.725006,255.512497,260.387512,257.062927,1425540.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-01-31,261.174988,270.950012,250.0,257.149994,253.86676,3794432.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-02-01,258.75,261.75,239.587494,243.162506,240.057861,7402108.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-02-04,246.25,253.425003,243.162506,246.587494,243.439102,3248532.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-02-05,245.0,249.25,238.0625,242.037506,238.947189,3661780.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-02-06,232.5,237.75,230.0,231.125,228.174026,2664408.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-02-07,233.0,238.5,223.5,225.837494,222.954041,3625984.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-02-08,227.5,227.5,207.75,214.600006,211.860016,4805556.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-02-11,217.0,223.649994,193.75,199.350006,196.804764,6509396.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-02-12,201.274994,215.0,190.75,204.524994,201.913666,4362848.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-02-13,204.524994,219.5,204.524994,210.987503,208.293625,3315628.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-02-14,218.774994,222.5,216.25,217.512497,214.735352,3320940.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-02-15,209.149994,226.975006,206.574997,225.199997,222.324677,3240296.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
2008-02-18,227.5,236.25,223.0,230.3125,227.371918,2509008.0,Kotak Mahindra Bank Ltd,2008,3.1,3.8,8.3
