Date,Open,High,Low,Close,Adj Close,Volume,Company,Year,GDP Growth Rate,Interest Rate,Inflation Rate
2008-01-01,269.25,269.25,263.0,263.637512,193.154892,928388.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-01-02,265.0,265.25,257.875,262.5,192.321548,2864924.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-01-03,257.524994,261.25,251.337494,252.762497,185.187317,5168280.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-01-04,252.762497,255.725006,250.574997,251.300003,184.115799,2318868.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-01-07,250.0,252.199997,243.125,243.899994,178.694229,3647344.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-01-08,245.0,248.0,242.324997,246.962494,180.937912,3207732.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-01-09,248.699997,251.5,247.475006,249.074997,182.485626,2450128.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-01-10,249.5,252.375,240.5,245.412506,179.802322,3342376.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-01-11,228.837494,251.0,228.837494,247.4375,181.285889,2149188.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-01-14,249.949997,249.949997,238.899994,240.287506,176.047516,4158864.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-01-15,241.25,242.0,233.5,235.0,172.173569,2935588.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-01-16,235.0,241.675003,231.25,236.237503,173.080231,3131956.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-01-17,241.449997,241.5,229.75,230.675003,169.004868,6302096.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-01-18,232.375,235.0,224.274994,225.800003,165.433167,4333816.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-01-21,226.0,226.175003,201.3125,207.762497,152.217926,4840032.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-01-22,203.675003,247.5,181.25,200.0625,146.576492,6376872.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-01-23,214.75,222.5,201.25,217.987503,160.310303,5359120.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-01-24,217.5,222.0,206.4375,210.8125,155.033752,2013336.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-01-25,213.25,224.425003,212.524994,221.149994,162.636017,2243116.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-01-28,217.5,217.5,206.25,213.574997,157.065277,2485660.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-01-29,214.0,221.149994,213.75,216.925003,159.528915,3258712.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-01-30,220.5,223.0,215.0,217.462494,159.924133,3032856.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-01-31,217.5,222.5,208.837494,218.4375,160.641159,5966956.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-02-01,221.25,235.274994,218.324997,232.375,170.890976,4169520.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-02-04,236.25,247.25,234.75,243.912506,179.375732,3730520.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-02-05,240.0,243.75,233.912506,238.762497,175.588394,1722872.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-02-06,232.5,232.5,223.625,226.524994,166.588821,4007952.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-02-07,226.524994,226.524994,217.762497,219.762497,161.615616,2574652.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-02-08,221.0,231.25,220.0,224.600006,165.173172,2576820.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-02-11,224.600006,233.0,215.024994,226.524994,166.588821,3200988.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-02-12,226.25,231.25,215.0,216.162506,158.96814,5161328.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-02-13,218.75,224.25,212.824997,217.237503,159.758698,2185376.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-02-14,221.25,225.0,215.25,218.449997,160.650391,2246480.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-02-15,215.0,221.762497,215.0,218.175003,160.448166,2213044.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-02-18,218.175003,218.75,212.5,213.300003,156.863068,1723160.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-02-19,214.0,221.0,213.75,218.862503,160.953705,1947288.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-02-20,219.975006,223.662506,218.3125,221.524994,162.911835,3060624.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-02-21,224.5,232.75,220.5,228.662506,168.160828,3562052.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-02-22,230.0,230.225006,221.25,225.137497,165.568451,2401516.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-02-25,232.0,232.25,222.5625,225.1875,165.60527,3255460.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-02-26,231.0,231.0,223.75,224.600006,165.173172,4999584.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-02-27,227.0,228.712494,218.512497,219.387497,161.339828,2364056.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-02-28,221.25,222.5,218.0,220.225006,161.955765,5579004.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-02-29,220.0,222.925003,215.875,219.350006,161.312286,3416480.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-03-03,216.5,217.175003,210.0,212.149994,156.017258,3141328.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-03-04,214.5,217.5,211.774994,214.699997,157.892593,3010532.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-03-05,211.25,220.699997,211.25,218.824997,160.926193,2209348.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-03-07,215.649994,216.524994,210.5625,211.537506,155.566879,1996828.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-03-10,211.537506,213.5,207.5,208.412506,153.268707,2494168.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-03-11,210.0,210.0,205.0,205.875,151.402588,4043520.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-03-12,209.75,212.5,202.5625,205.887497,151.411789,1884412.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-03-13,203.75,203.75,190.25,194.925003,143.349884,3408600.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-03-14,195.0,203.225006,187.5,200.962494,147.789902,2216056.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-03-17,193.75,199.425003,192.1875,197.962494,145.58371,1958904.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-03-18,197.5,207.199997,192.5,204.425003,150.336258,3596080.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-03-19,207.0,210.0,201.387497,202.862503,149.18718,4361924.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-03-24,202.862503,209.375,202.862503,205.925003,151.439362,3301984.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-03-25,210.0,224.962494,208.75,219.125,161.14682,2928896.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-03-26,235.0,235.0,212.887497,219.587494,161.486923,2171768.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-03-27,218.0,219.0,210.274994,213.125,156.734299,6151152.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-03-28,213.25,218.675003,213.0,217.762497,160.144806,3633696.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-03-31,217.762497,217.762497,199.25,202.612503,149.003326,4051860.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-04-01,205.0,213.225006,202.5,208.087494,153.029724,2086728.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-04-02,212.5,217.25,212.3125,212.8125,156.504471,1428844.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-04-03,212.5,223.0,212.5,221.350006,162.783112,3287172.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-04-04,221.5,222.475006,215.012497,218.225006,160.484909,2020844.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-04-07,223.75,230.024994,219.550003,226.024994,166.221161,3659528.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-04-08,226.25,226.75,218.75,221.837494,163.141617,4055352.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-04-09,220.0,223.0,217.25,219.0625,161.100784,1482600.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-04-10,220.0,229.912506,219.25,224.887497,165.384583,2925932.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-04-11,225.762497,231.25,223.3125,227.0,166.938187,2189264.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-04-15,230.5,246.25,220.100006,243.537506,179.100021,5703772.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-04-16,246.25,250.5,240.5,242.975006,178.686295,6438768.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-04-17,249.925003,252.5,244.887497,250.225006,184.018051,3999556.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-04-21,252.25,258.75,246.649994,248.350006,182.63916,3399296.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-04-22,246.237503,246.237503,220.5,221.800003,163.114044,13785196.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-04-23,221.75,226.425003,220.012497,222.287506,163.472549,6326156.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-04-24,226.0,226.225006,216.0,222.6875,163.766693,15290096.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-04-25,228.0,228.0,221.25,222.324997,163.500107,6828568.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-04-28,202.25,224.0,180.0,220.425003,162.102844,6598136.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-04-29,220.512497,232.5,217.537506,227.637497,167.407013,16209848.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-04-30,229.024994,233.9375,226.625,230.25,169.328308,9487980.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-05-02,231.25,240.5,231.0,235.9375,173.51091,5298780.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-05-05,236.25,237.375,230.287506,231.862503,170.514099,3613764.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-05-06,227.5,237.5,218.149994,234.262497,172.279099,3982796.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-05-07,237.5,244.975006,237.5,241.6875,177.739517,12585540.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-05-08,241.225006,241.25,229.5,236.75,174.108414,10845832.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-05-09,239.75,239.75,227.5,229.25,168.592743,4492296.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-05-12,229.25,233.712494,227.574997,231.725006,170.412949,3898508.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-05-13,232.5,235.350006,222.25,226.262497,166.395859,4462876.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-05-14,226.25,244.737503,222.787506,242.787506,178.548447,9373188.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-05-15,243.25,250.5,240.024994,246.1875,181.048843,7177896.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-05-16,248.5,248.5,242.125,245.262497,180.368591,3838648.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-05-20,243.75,247.5,236.8125,239.024994,175.781418,4946904.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-05-21,232.0,242.0,228.75,241.274994,177.436111,3140184.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-05-22,239.125,246.375,237.75,240.287506,176.709991,5445200.0,Tata Consultancy Services,2008,3.1,3.8,8.3
2008-05-23,243.725006,244.925003,231.524994,233.100006,171.424103,5401384.0,Tata Consultancy Services,2008,3.1,3.8,8.3
