Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,113.900002,114.599998,109.105003,113.410004,98.244789,105560
2008-01-02,113.500000,116.500000,111.205002,113.629997,98.435387,191880
2008-01-03,114.099998,114.889999,112.300003,113.904999,98.673584,133510
2008-01-04,115.000000,115.790001,111.099998,114.089996,98.833847,208380
2008-01-07,114.089996,122.099998,107.769997,121.239998,105.027740,222280
2008-01-08,121.199997,129.990005,117.900002,124.820000,108.129044,403670
2008-01-09,124.820000,129.899994,118.599998,120.290001,104.204788,1437040
2008-01-10,120.695000,120.695000,115.120003,117.224998,101.549622,68440
2008-01-11,117.500000,117.500000,112.250000,115.720001,100.245888,49530
2008-01-14,109.065002,115.900002,109.065002,112.410004,97.378525,51850
2008-01-15,118.000000,118.000000,109.000000,109.959999,95.256126,84430
2008-01-16,109.900002,111.199997,107.500000,108.620003,94.095306,364870
2008-01-17,108.000000,109.900002,106.000000,108.675003,94.142975,91120
2008-01-18,105.199997,109.000000,101.500000,104.000000,90.093094,217260
2008-01-21,107.995003,107.995003,103.105003,104.559998,90.578224,1040430
2008-01-22,96.300003,119.900002,90.300003,95.000000,82.296577,358100
2008-01-23,104.000000,104.500000,97.099998,100.264999,86.857544,1102060
2008-01-24,101.105003,105.989998,99.000000,101.614998,88.027023,2792830
2008-01-25,101.500000,111.010002,101.500000,104.695000,90.695168,274530
2008-01-28,104.000000,113.989998,100.199997,112.714996,97.642708,235940
2008-01-29,112.699997,114.989998,106.699997,110.779999,95.966469,88070
2008-01-30,111.000000,120.000000,110.000000,118.000000,102.221001,252020
2008-01-31,117.800003,131.994995,110.199997,124.614998,107.951439,537940
2008-02-01,126.000000,126.000000,113.309998,117.000000,101.354721,186080
2008-02-04,120.129997,123.800003,117.599998,119.605003,103.611389,747470
2008-02-05,120.500000,123.000000,119.500000,121.639999,105.374268,212330
2008-02-06,116.000000,121.400002,116.000000,120.775002,104.624939,2718600
2008-02-07,118.000000,120.500000,111.964996,114.055000,98.803543,327970
2008-02-08,115.000000,119.000000,110.500000,118.000000,102.221001,1520360
2008-02-11,118.000000,120.000000,113.000000,115.165001,99.765114,79230
2008-02-12,115.500000,116.000000,110.055000,115.160004,99.760780,117070
2008-02-13,115.400002,118.000000,113.000000,114.769997,99.422951,107020
2008-02-14,116.699997,116.900002,115.000000,115.364998,99.938370,63320
2008-02-15,115.500000,116.699997,115.000000,115.360001,99.934036,41160
2008-02-18,116.800003,117.000000,114.125000,115.035004,99.652504,20900
2008-02-19,115.699997,116.290001,110.500000,111.160004,96.295647,85520
2008-02-20,112.000000,114.495003,107.900002,108.730003,94.190598,43270
2008-02-21,110.000000,112.449997,104.000000,105.385002,91.292892,111780
2008-02-22,105.099998,111.500000,104.099998,109.620003,94.961594,38830
2008-02-25,113.500000,118.900002,109.000000,113.495003,98.318443,108640
2008-02-26,114.000000,114.000000,112.000000,113.095001,97.971924,68870
2008-02-27,113.500000,120.394997,113.099998,119.845001,103.819305,452810
2008-02-28,119.000000,119.000000,110.139999,113.629997,98.435387,219470
2008-02-29,114.900002,114.900002,110.000000,111.500000,96.590187,90510
2008-03-03,110.000000,117.800003,109.199997,116.025002,100.510117,134990
2008-03-04,112.000000,117.900002,112.000000,116.589996,100.999550,87700
2008-03-05,116.800003,116.800003,112.504997,113.599998,98.409370,217150
2008-03-07,112.500000,113.989998,110.120003,112.394997,97.365524,633930
2008-03-10,111.019997,117.000000,109.800003,115.970001,100.462494,2251280
2008-03-11,114.699997,120.000000,114.000000,116.474998,100.899925,177140
2008-03-12,116.099998,118.500000,114.400002,115.669998,100.202583,82340
2008-03-13,115.099998,115.599998,112.599998,113.320000,98.166824,375560
2008-03-14,114.800003,118.000000,113.199997,114.080002,98.825203,5044210
2008-03-17,110.500000,114.000000,105.199997,110.574997,95.788872,502990
2008-03-18,110.000000,114.000000,109.000000,113.385002,98.223137,108130
2008-03-19,111.199997,120.800003,110.000000,117.504997,101.792198,12180790
2008-03-24,117.500000,119.500000,115.000000,116.775002,101.159828,284490
2008-03-25,117.800003,117.800003,115.050003,115.775002,100.293549,108820
2008-03-26,116.000000,116.000000,115.000000,115.709999,100.237221,56880
2008-03-27,115.000000,117.495003,114.900002,116.470001,100.895599,1740100
2008-03-28,117.199997,118.500000,115.500000,117.894997,102.130035,121070
2008-03-31,117.000000,120.500000,116.000000,119.989998,103.944916,188480
2008-04-01,120.000000,123.000000,118.800003,119.815002,103.793312,129880
2008-04-02,120.800003,123.800003,116.500000,118.695000,102.823082,52140
2008-04-03,119.000000,119.489998,116.305000,118.294998,102.476570,85020
2008-04-04,118.699997,119.000000,115.070000,118.410004,102.576202,35510
2008-04-07,118.500000,118.800003,117.000000,118.345001,102.519897,26520
2008-04-08,117.419998,119.794998,117.000000,118.209999,102.402924,113640
2008-04-09,118.300003,123.500000,118.300003,122.254997,105.907013,348320
2008-04-10,123.400002,123.400002,120.000000,121.504997,105.257324,139070
2008-04-11,117.500000,122.699997,112.684998,119.989998,103.944916,378790
2008-04-15,119.199997,121.000000,119.199997,120.040001,103.988205,16010
2008-04-16,120.199997,122.995003,119.000000,120.139999,104.074852,48660
2008-04-17,122.000000,122.989998,120.000000,121.894997,105.595200,114830
2008-04-21,121.400002,124.699997,121.000000,124.095001,107.500984,91220
2008-04-22,123.900002,123.995003,121.300003,123.470001,106.959579,41370
2008-04-23,122.800003,123.800003,121.699997,122.870003,106.439796,32820
2008-04-24,122.870003,123.500000,121.500000,122.040001,105.720779,211510
2008-04-25,122.800003,123.800003,122.004997,122.974998,106.530769,17430
2008-04-28,123.199997,125.000000,122.805000,124.370003,107.739235,56350
2008-04-29,123.300003,126.190002,123.264999,125.544998,108.757095,75670
2008-04-30,125.800003,128.500000,125.205002,128.029999,110.909813,112990
2008-05-02,128.000000,129.899994,126.000000,127.584999,110.524284,215770
2008-05-05,127.500000,129.500000,126.000000,128.485001,111.303940,69380
2008-05-06,128.399994,129.699997,126.504997,128.354996,111.191330,78290
2008-05-07,128.500000,133.399994,126.510002,127.445000,110.403023,38620
2008-05-08,124.099998,127.400002,121.500000,123.379997,106.881584,102440
2008-05-09,126.000000,126.000000,121.025002,122.250000,105.902702,110860
2008-05-12,122.199997,122.199997,119.500000,120.324997,104.235115,106690
2008-05-13,120.900002,124.000000,120.000000,123.495003,106.981209,64880
2008-05-14,122.800003,123.800003,121.400002,122.830002,106.405136,62570
2008-05-15,122.750000,123.904999,121.000000,121.720001,105.443573,38770
2008-05-16,121.699997,125.000000,121.004997,121.385002,105.153358,20380
2008-05-20,121.599998,123.500000,120.169998,122.570000,106.179909,84280
2008-05-21,121.800003,122.800003,119.504997,122.074997,105.751099,53870
2008-05-22,120.699997,123.449997,120.699997,122.595001,106.201584,48210
2008-05-23,122.500000,123.300003,122.500000,122.635002,106.236229,30880
2008-05-26,121.500000,123.400002,120.099998,122.574997,106.184258,127620
2008-05-27,122.400002,127.599998,121.500000,124.129997,107.531288,282310
2008-05-28,123.800003,125.290001,123.019997,123.800003,107.245438,139470
2008-05-29,123.699997,126.889999,123.000000,125.940002,109.099274,130410
2008-05-30,125.900002,129.100006,125.000000,128.589996,111.394897,98320
2008-06-02,129.005005,129.899994,125.199997,126.129997,109.263870,58680
2008-06-03,124.500000,125.489998,123.500000,124.375000,107.743546,142070
2008-06-04,124.300003,125.480003,121.099998,125.000000,108.284973,50280
2008-06-05,125.000000,126.000000,123.514999,125.665001,108.861069,19570
2008-06-06,124.254997,127.900002,124.254997,126.080002,109.220566,34840
2008-06-09,125.000000,126.989998,120.000000,125.605003,108.809082,330370
2008-06-10,124.099998,126.300003,124.000000,125.665001,108.861069,372820
2008-06-11,125.599998,129.399994,124.044998,128.785004,111.563843,68330
2008-06-12,128.649994,130.000000,125.300003,125.904999,109.965515,592430
2008-06-13,127.099998,127.900002,123.419998,126.839996,110.782143,59760
2008-06-16,126.500000,128.475006,126.449997,127.849998,111.664276,709850
2008-06-17,127.500000,127.500000,125.099998,125.915001,109.974251,50310
2008-06-18,126.495003,126.800003,124.900002,125.324997,109.458939,606470
2008-06-19,126.900002,131.970001,122.800003,126.014999,110.061577,571340
2008-06-20,126.000000,127.300003,125.199997,126.029999,110.074692,463090
2008-06-23,127.500000,127.500000,122.500000,124.699997,108.913071,1284930
2008-06-24,124.000000,124.500000,121.000000,122.489998,106.982849,190180
2008-06-25,121.000000,122.699997,115.000000,116.035004,101.345062,213730
2008-06-26,119.000000,120.000000,116.500000,117.684998,102.786163,149350
2008-06-27,116.300003,118.989998,110.555000,115.605003,100.969490,78590
2008-06-30,115.605003,119.699997,114.000000,114.925003,100.375580,178630
2008-07-01,115.209999,116.089996,106.004997,108.144997,94.453926,121530
2008-07-02,107.900002,107.900002,100.214996,104.644997,91.397011,157450
2008-07-03,104.699997,105.879997,101.800003,102.644997,89.650208,108150
2008-07-04,102.900002,104.000000,101.010002,103.220001,90.152412,51750
2008-07-07,103.099998,105.995003,103.019997,105.139999,91.829346,20480
2008-07-08,103.000000,105.900002,102.099998,102.514999,89.536667,75860
2008-07-09,104.099998,104.824997,102.500000,103.385002,90.296532,63550
2008-07-10,104.000000,104.000000,103.000000,103.559998,90.449379,46000
2008-07-11,104.000000,105.599998,103.004997,105.184998,91.868660,61020
2008-07-14,104.000000,107.000000,103.029999,105.180000,91.864288,118590
2008-07-15,105.400002,105.599998,103.500000,103.959999,90.798744,1358780
2008-07-16,104.000000,104.000000,99.995003,100.195000,87.510361,78050
2008-07-17,102.800003,105.000000,101.000000,103.410004,90.318359,414170
2008-07-18,103.000000,105.779999,102.800003,104.980003,91.689606,45570
2008-07-21,103.900002,106.510002,103.900002,106.275002,92.820686,30490
2008-07-22,106.199997,109.300003,105.800003,106.320000,92.859962,56800
2008-07-23,107.300003,118.459999,107.300003,111.084999,97.021721,156950
2008-07-24,111.500000,114.599998,111.500000,112.250000,98.039230,62560
2008-07-25,112.000000,112.800003,110.500000,111.705002,97.563217,31200
2008-07-28,112.500000,114.650002,111.000000,113.830002,99.419182,286520
2008-07-29,112.800003,115.500000,112.010002,115.000000,100.441093,39720
2008-07-30,117.589996,120.000000,115.000000,119.004997,103.939034,98030
2008-07-31,119.599998,123.000000,118.105003,120.445000,105.196754,564360
2008-08-01,120.000000,122.500000,120.000000,121.035004,105.712082,667920
2008-08-04,122.500000,124.870003,121.500000,122.519997,107.009041,94710
2008-08-05,122.500000,124.400002,122.500000,123.639999,107.987267,275580
2008-08-06,123.699997,124.989998,123.105003,123.750000,108.083359,167340
2008-08-07,126.000000,126.000000,123.394997,124.125000,108.410881,359270
2008-08-08,123.500000,124.000000,122.620003,123.875000,108.192490,118350
2008-08-11,124.004997,125.989998,124.000000,125.464996,109.581230,201570
2008-08-12,125.504997,126.099998,123.980003,125.595001,109.694748,230200
