Date,Open,High,Low,Close,Adj Close,Volume,Company,Year,GDP Growth Rate,Interest Rate,Inflation Rate
2008-01-01,2630.0,2630.0,2601.100098,2608.0,2554.425293,31000.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-01-02,2606.0,2629.0,2560.199951,2610.0,2556.384277,115800.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-01-03,2580.0,2600.0,2566.699951,2583.0,2529.938965,143100.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-01-04,2598.0,2604.699951,2570.0,2591.0,2537.77417,113000.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-01-07,2552.0,2599.0,2525.0,2535.0,2482.924561,140100.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-01-08,2579.899902,2598.899902,2525.0,2537.0,2484.883789,143100.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-01-09,2525.0,2579.800049,2500.0,2540.0,2487.821777,216200.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-01-10,2550.0,2619.0,2500.0,2505.0,2453.541016,92500.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-01-11,2599.800049,2599.800049,2483.0,2510.050049,2458.486816,255500.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-01-14,2500.0,2545.0,2441.199951,2445.199951,2394.968994,47700.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-01-15,2482.0,2510.0,2430.0,2459.0,2408.485596,77100.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-01-16,2405.649902,2479.0,2405.649902,2450.0,2399.670166,69100.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-01-17,2450.5,2475.0,2423.100098,2440.050049,2389.925049,101900.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-01-18,2460.0,2599.0,2411.100098,2440.0,2389.875977,127700.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-01-21,2400.0,2483.0,1950.0,2260.199951,2213.769775,254500.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-01-22,2265.0,2300.0,1850.0,2099.949951,2056.812012,269300.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-01-23,2250.0,2342.949951,2100.0,2255.0,2208.676514,294700.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-01-24,2240.0,2366.550049,2065.0,2170.0,2125.422607,107500.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-01-25,2180.0,2349.0,2170.0,2320.0,2272.341309,103600.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-01-28,2156.0,2490.0,2105.0,2430.0,2380.081787,160300.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-01-29,2450.0,2450.0,2310.0,2371.050049,2322.342529,95700.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-01-30,2380.0,2380.0,2220.0,2300.0,2252.751465,131200.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-01-31,2285.0,2395.0,2232.0,2385.0,2336.005371,233200.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-02-01,2360.0,2460.0,2325.0,2450.0,2399.670166,142300.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-02-04,2479.949951,2509.899902,2431.0,2481.050049,2430.083252,120000.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-02-05,2499.0,2499.0,2390.050049,2400.050049,2350.746582,38000.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-02-06,2385.0,2400.0,2300.0,2337.0,2288.991943,94800.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-02-07,2310.0,2340.0,2255.100098,2280.0,2233.162598,78200.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-02-08,2290.0,2290.0,2201.0,2210.0,2164.60083,105600.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-02-11,2162.699951,2300.0,2052.25,2061.0,2018.661621,75200.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-02-12,2110.0,2219.699951,2050.199951,2068.0,2025.517822,79200.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-02-13,2090.0,2150.0,1995.0,2005.0,1963.812134,168300.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-02-14,2030.900024,2100.0,2030.900024,2086.0,2043.148071,150800.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-02-15,2052.0,2197.899902,2050.0,2187.0,2142.073486,112600.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-02-18,2200.0,2235.0,2176.0,2212.949951,2167.48999,64700.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-02-19,2235.0,2367.0,2187.0,2345.0,2296.827393,280900.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-02-20,2350.100098,2385.0,2301.0,2345.0,2296.827393,115400.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-02-21,2374.949951,2435.0,2339.5,2402.25,2352.901611,128200.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-02-22,2450.0,2450.0,2276.0,2280.0,2233.162598,258000.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-02-25,2319.0,2338.0,2175.0,2203.649902,2158.381836,238700.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-02-26,2200.0,2236.949951,2191.25,2195.600098,2150.496582,126200.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-02-27,2219.0,2250.0,2152.149902,2157.0,2112.689697,400400.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
2008-02-28,2174.899902,2265.0,2151.0,2245.0,2198.881348,276600.0,Bajaj Finserv Ltd,2008,3.1,3.8,8.3
