Date,Open,High,Low,Close,Adj Close,Volume,Company,Year,GDP Growth Rate,Interest Rate,Inflation Rate
2008-01-01,148.899994,149.0,147.005005,147.434998,115.663055,40210.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-01-02,148.0,151.960007,147.0,148.914993,116.824112,313820.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-01-03,148.5,152.899994,148.5,151.210007,118.62455,34420.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-01-04,153.0,153.199997,150.100006,150.464996,118.040123,30660.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-01-07,153.0,153.289993,147.210007,152.300003,119.479645,35810.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-01-08,155.399994,165.0,152.0,153.285004,120.252411,118920.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-01-09,156.375,156.375,153.100006,155.014999,121.609604,57930.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-01-10,156.0,158.0,153.0,155.309998,121.841034,71410.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-01-11,161.0,162.5,152.705002,160.945007,126.261688,92310.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-01-14,156.205002,162.0,156.205002,159.970001,125.49678,25480.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-01-15,157.320007,160.100006,157.320007,158.309998,124.194519,6530.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-01-16,157.0,157.994995,154.630005,155.294998,121.829224,29440.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-01-17,153.005005,157.884995,153.005005,155.039993,121.629181,15350.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-01-18,152.5,156.5,152.5,155.134995,121.703712,26420.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-01-21,152.5,155.880005,137.5,147.794998,115.945465,32070.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-01-22,135.75,151.0,119.0,148.634995,116.604462,42060.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-01-23,148.5,150.0,137.505005,143.509995,112.583893,19410.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-01-24,144.009995,155.0,120.665001,145.759995,114.349037,45370.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-01-25,141.600006,149.0,141.5,147.899994,116.027863,12870.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-01-28,149.0,154.399994,143.005005,144.785004,113.584152,12290.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-01-29,149.990005,153.899994,142.5,143.869995,112.866302,30180.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-01-30,146.279999,146.699997,142.5,144.095001,113.042801,10230.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-01-31,144.0,145.5,142.0,144.649994,113.478226,7630.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-02-01,147.490005,147.5,141.300003,142.360001,111.681679,8730.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-02-04,147.399994,149.800003,143.604996,148.320007,116.357361,17010.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-02-05,145.300003,149.990005,145.300003,147.089996,115.392403,6140.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-02-06,127.550003,146.800003,127.550003,144.210007,113.133072,9620.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-02-07,145.800003,146.300003,142.0,142.294998,111.630722,7170.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-02-08,140.869995,143.449997,139.505005,140.470001,110.199013,6250.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-02-11,150.0,150.0,137.5,141.729996,111.187462,12540.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-02-12,138.0,142.899994,135.0,136.259995,106.896248,9450.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-02-13,140.0,140.0,135.0,135.759995,106.503983,11040.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-02-14,136.0,140.0,136.0,138.059998,108.308342,9340.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-02-15,139.979996,139.990005,137.619995,139.059998,109.092857,6490.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-02-18,142.0,142.5,138.199997,138.960007,109.014397,7100.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-02-19,140.0,143.494995,137.809998,143.035004,112.211266,23050.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-02-20,140.5,144.699997,138.255005,141.580002,111.069801,13510.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-02-21,141.580002,143.399994,138.899994,140.024994,109.849876,5320.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-02-22,143.389999,143.389999,137.5,139.375,109.339973,6180.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-02-25,138.5,142.5,137.5,139.389999,109.35173,4250.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-02-26,138.029999,142.964996,138.029999,139.585007,109.504723,5060.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-02-27,140.0,141.699997,138.100006,138.839996,108.920258,10930.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-02-28,138.104996,141.449997,137.514999,140.589996,110.293129,4900.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-02-29,139.990005,141.779999,137.5,137.854996,108.14753,17260.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-03-03,138.399994,138.854996,135.110001,136.054993,106.735405,15500.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-03-04,136.0,136.009995,133.5,135.895004,106.609909,34380.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-03-05,134.535004,137.994995,134.5,137.419998,107.806267,10390.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-03-07,132.300003,138.490005,132.300003,136.839996,107.351265,21680.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-03-10,138.5,139.0,134.0,137.464996,107.841576,26350.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-03-11,137.5,143.0,134.225006,142.119995,111.493431,33200.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
2008-03-12,148.800003,151.0,136.529999,138.354996,108.53978,6770.0,Britannia Industries Ltd,2008,3.1,3.8,8.3
