Date,Open,High,Low,Close,Adj Close,Volume,Company,Year,GDP Growth Rate,Interest Rate,Inflation Rate
2008-01-01,215.0,216.0,210.300003,211.100006,191.682114,788440.0,Cipla Ltd,2008,3.1,3.8,8.3
2008-01-02,211.149994,224.600006,209.0,218.850006,198.719238,1879937.0,Cipla Ltd,2008,3.1,3.8,8.3
2008-01-03,218.800003,218.800003,214.100006,216.350006,196.449173,1239789.0,Cipla Ltd,2008,3.1,3.8,8.3
2008-01-04,214.399994,218.399994,212.550003,213.649994,193.997559,994393.0,Cipla Ltd,2008,3.1,3.8,8.3
2008-01-07,210.300003,214.0,210.100006,212.649994,193.089539,1011810.0,Cipla Ltd,2008,3.1,3.8,8.3
2008-01-08,215.800003,215.800003,208.25,209.899994,190.592468,1580349.0,Cipla Ltd,2008,3.1,3.8,8.3
2008-01-09,210.0,211.899994,207.149994,209.449997,190.183853,726562.0,Cipla Ltd,2008,3.1,3.8,8.3
2008-01-10,210.5,211.850006,200.600006,202.800003,184.145584,1779812.0,Cipla Ltd,2008,3.1,3.8,8.3
2008-01-11,206.949997,207.5,201.149994,205.449997,186.551849,1454880.0,Cipla Ltd,2008,3.1,3.8,8.3
2008-01-14,199.350006,207.399994,199.350006,205.25,186.370224,712604.0,Cipla Ltd,2008,3.1,3.8,8.3
2008-01-15,213.0,213.0,202.100006,204.949997,186.097794,931511.0,Cipla Ltd,2008,3.1,3.8,8.3
2008-01-16,199.449997,210.050003,199.449997,205.949997,187.005814,1307223.0,Cipla Ltd,2008,3.1,3.8,8.3
2008-01-17,203.0,212.399994,203.0,209.899994,190.592468,1112125.0,Cipla Ltd,2008,3.1,3.8,8.3
2008-01-18,210.0,210.0,199.0,202.600006,183.963974,1225955.0,Cipla Ltd,2008,3.1,3.8,8.3
2008-01-21,200.100006,201.25,182.25,190.100006,172.6138,2068965.0,Cipla Ltd,2008,3.1,3.8,8.3
2008-01-22,189.0,196.0,160.100006,176.850006,160.582596,1241476.0,Cipla Ltd,2008,3.1,3.8,8.3
