Date,Open,High,Low,Close,Adj Close,Volume,Company,Year,GDP Growth Rate,Interest Rate,Inflation Rate
2008-01-01,83.0,83.612503,80.074997,80.512497,55.720848,730260.0,HCL Technologies Ltd,2008,3.1,3.8,8.3
2008-01-02,80.487503,81.474998,78.262497,78.587502,54.388577,1896700.0,HCL Technologies Ltd,2008,3.1,3.8,8.3
2008-01-03,79.0,79.1875,77.012497,77.5,53.635952,2943936.0,HCL Technologies Ltd,2008,3.1,3.8,8.3
2008-01-04,77.75,79.237503,77.012497,78.762497,54.509697,2431480.0,HCL Technologies Ltd,2008,3.1,3.8,8.3
2008-01-07,79.0,79.0,74.400002,74.824997,51.78466,5565516.0,HCL Technologies Ltd,2008,3.1,3.8,8.3
2008-01-08,73.8125,76.599998,73.8125,75.212502,52.05283,3877976.0,HCL Technologies Ltd,2008,3.1,3.8,8.3
2008-01-09,77.099998,77.099998,74.75,75.025002,51.923077,4305368.0,HCL Technologies Ltd,2008,3.1,3.8,8.3
2008-01-10,76.25,76.25,73.775002,74.050003,51.248302,1519052.0,HCL Technologies Ltd,2008,3.1,3.8,8.3
2008-01-11,74.5,75.0,71.150002,72.224998,49.985245,3117668.0,HCL Technologies Ltd,2008,3.1,3.8,8.3
2008-01-14,72.512497,73.0,70.0,70.974998,49.120136,1338160.0,HCL Technologies Ltd,2008,3.1,3.8,8.3
2008-01-15,71.25,72.25,69.0,69.224998,47.909039,1828536.0,HCL Technologies Ltd,2008,3.1,3.8,8.3
2008-01-16,69.4375,69.4375,66.525002,67.262497,46.550823,3882984.0,HCL Technologies Ltd,2008,3.1,3.8,8.3
2008-01-17,68.724998,68.724998,66.5,66.925003,46.317249,1989320.0,HCL Technologies Ltd,2008,3.1,3.8,8.3
2008-01-18,67.275002,69.75,66.25,66.925003,46.317249,3413620.0,HCL Technologies Ltd,2008,3.1,3.8,8.3
2008-01-21,66.587502,66.587502,60.037498,62.287498,43.107754,22121748.0,HCL Technologies Ltd,2008,3.1,3.8,8.3
2008-01-22,60.25,64.974998,46.262501,57.462502,39.768467,2154932.0,HCL Technologies Ltd,2008,3.1,3.8,8.3
2008-01-23,59.25,65.0,57.474998,60.087502,41.950199,6945732.0,HCL Technologies Ltd,2008,3.1,3.8,8.3
2008-01-24,60.75,63.012501,56.25,57.5625,40.187359,4556056.0,HCL Technologies Ltd,2008,3.1,3.8,8.3
2008-01-25,58.137501,63.0,58.137501,62.424999,43.582123,3240744.0,HCL Technologies Ltd,2008,3.1,3.8,8.3
