Date,Open,High,Low,Close,Adj Close,Volume,Company,Year,GDP Growth Rate,Interest Rate,Inflation Rate
2008-01-01,173.0,173.899994,170.5,172.949997,154.27092,1310520.0,HDFC Bank Ltd,2008,3.1,3.8,8.3
2008-01-02,173.399994,173.479996,169.029999,171.529999,153.004318,6239750.0,HDFC Bank Ltd,2008,3.1,3.8,8.3
2008-01-03,171.0,171.0,167.619995,169.440002,151.140045,7018640.0,HDFC Bank Ltd,2008,3.1,3.8,8.3
2008-01-04,170.300003,171.399994,169.399994,169.639999,151.31842,3729820.0,HDFC Bank Ltd,2008,3.1,3.8,8.3
2008-01-07,165.100006,167.839996,161.229996,165.539993,147.66124,6322460.0,HDFC Bank Ltd,2008,3.1,3.8,8.3
2008-01-08,168.899994,172.279999,167.0,171.574997,153.044479,9167490.0,HDFC Bank Ltd,2008,3.1,3.8,8.3
2008-01-09,171.449997,176.699997,170.029999,174.460007,155.617859,10049190.0,HDFC Bank Ltd,2008,3.1,3.8,8.3
2008-01-10,178.949997,179.759995,170.514999,172.199997,153.601959,8611000.0,HDFC Bank Ltd,2008,3.1,3.8,8.3
2008-01-11,172.800003,177.800003,172.210007,176.455002,157.397415,4151100.0,HDFC Bank Ltd,2008,3.1,3.8,8.3
2008-01-14,177.399994,182.5,172.229996,178.315002,159.056488,11675460.0,HDFC Bank Ltd,2008,3.1,3.8,8.3
2008-01-15,182.029999,182.029999,176.654999,178.895004,159.573898,6228420.0,HDFC Bank Ltd,2008,3.1,3.8,8.3
2008-01-16,169.5,173.860001,165.029999,167.375,149.29808,12281700.0,HDFC Bank Ltd,2008,3.1,3.8,8.3
2008-01-17,166.210007,166.800003,161.220001,164.360001,146.608688,13356690.0,HDFC Bank Ltd,2008,3.1,3.8,8.3
2008-01-18,158.110001,162.600006,155.559998,157.100006,140.132813,9967410.0,HDFC Bank Ltd,2008,3.1,3.8,8.3
2008-01-21,159.0,159.0,148.0,150.710007,134.432922,7434890.0,HDFC Bank Ltd,2008,3.1,3.8,8.3
2008-01-22,149.889999,178.0,135.100006,142.639999,127.234489,11645060.0,HDFC Bank Ltd,2008,3.1,3.8,8.3
2008-01-23,151.899994,170.0,138.0,153.429993,136.859146,9332870.0,HDFC Bank Ltd,2008,3.1,3.8,8.3
2008-01-24,153.0,163.699997,147.5,151.039993,134.727264,8141910.0,HDFC Bank Ltd,2008,3.1,3.8,8.3
2008-01-25,154.399994,168.0,152.509995,160.845001,143.473328,6072310.0,HDFC Bank Ltd,2008,3.1,3.8,8.3
2008-01-28,155.0,160.0,143.0,159.020004,141.845459,5958070.0,HDFC Bank Ltd,2008,3.1,3.8,8.3
2008-01-29,159.880005,162.699997,150.020004,153.735001,137.13121,6095210.0,HDFC Bank Ltd,2008,3.1,3.8,8.3
2008-01-30,157.399994,157.399994,150.5,153.294998,136.738754,3965110.0,HDFC Bank Ltd,2008,3.1,3.8,8.3
2008-01-31,154.199997,158.990005,151.505005,156.955002,140.003418,6396850.0,HDFC Bank Ltd,2008,3.1,3.8,8.3
2008-02-01,157.5,158.279999,148.520004,157.100006,140.132813,7287230.0,HDFC Bank Ltd,2008,3.1,3.8,8.3
2008-02-04,162.380005,162.380005,152.600006,154.740005,138.027695,5491300.0,HDFC Bank Ltd,2008,3.1,3.8,8.3
2008-02-05,156.0,159.740005,150.024994,151.225006,134.892319,6071410.0,HDFC Bank Ltd,2008,3.1,3.8,8.3
