Date,Open,High,Low,Close,Adj Close,Volume,Company,Year,GDP Growth Rate,Interest Rate,Inflation Rate
2008-01-01,220.824997,222.324997,217.78125,218.356247,153.236221,2001624.0,Infosys Ltd,2008,3.1,3.8,8.3
2008-01-02,218.75,219.918747,214.050003,218.537506,153.363419,6155056.0,Infosys Ltd,2008,3.1,3.8,8.3
2008-01-03,224.625,224.625,211.25,213.631256,149.920334,12425960.0,Infosys Ltd,2008,3.1,3.8,8.3
2008-01-04,218.425003,218.425003,210.0,211.862503,148.679077,6166320.0,Infosys Ltd,2008,3.1,3.8,8.3
2008-01-07,208.75,211.25,202.875,204.606247,143.586884,13254200.0,Infosys Ltd,2008,3.1,3.8,8.3
2008-01-08,206.875,209.987503,202.768753,207.78125,145.814957,15531264.0,Infosys Ltd,2008,3.1,3.8,8.3
2008-01-09,206.875,212.375,205.793747,206.618744,144.999161,14714680.0,Infosys Ltd,2008,3.1,3.8,8.3
2008-01-10,210.925003,211.25,198.5,200.318756,140.577972,15498280.0,Infosys Ltd,2008,3.1,3.8,8.3
2008-01-11,212.5,217.40625,195.625,197.71875,138.753387,22633144.0,Infosys Ltd,2008,3.1,3.8,8.3
2008-01-14,199.875,201.25,190.625,191.1875,134.169998,16050824.0,Infosys Ltd,2008,3.1,3.8,8.3
2008-01-15,193.0,194.362503,187.5,187.762497,131.766388,12786224.0,Infosys Ltd,2008,3.1,3.8,8.3
2008-01-16,187.5,189.875,183.762497,186.912506,131.169907,11127096.0,Infosys Ltd,2008,3.1,3.8,8.3
2008-01-17,187.5,190.65625,185.625,186.300003,130.740036,9699600.0,Infosys Ltd,2008,3.1,3.8,8.3
2008-01-18,186.625,187.25,181.368744,183.550003,128.810165,8136992.0,Infosys Ltd,2008,3.1,3.8,8.3
2008-01-21,182.487503,186.25,163.024994,173.887497,122.029312,22169536.0,Infosys Ltd,2008,3.1,3.8,8.3
2008-01-22,167.5,180.5,156.875,172.612503,121.134529,27680552.0,Infosys Ltd,2008,3.1,3.8,8.3
2008-01-23,181.125,182.324997,171.524994,177.75,124.739929,17827184.0,Infosys Ltd,2008,3.1,3.8,8.3
2008-01-24,181.125,187.875,174.375,177.818756,124.788147,13942864.0,Infosys Ltd,2008,3.1,3.8,8.3
2008-01-25,178.75,192.350006,178.75,189.981247,133.323441,6650192.0,Infosys Ltd,2008,3.1,3.8,8.3
2008-01-28,184.25,187.5,175.90625,180.793747,126.875885,7788688.0,Infosys Ltd,2008,3.1,3.8,8.3
2008-01-29,181.25,188.71875,181.25,186.574997,130.933044,9040664.0,Infosys Ltd,2008,3.1,3.8,8.3
