Date,Open,High,Low,Close,Adj Close,Volume,Company,Year,GDP Growth Rate,Interest Rate,Inflation Rate
2008-01-01,1000.0,1000.0,986.0,991.549988,876.208313,183163.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-01-02,1005.0,1009.950012,978.599976,997.049988,881.068542,351365.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-01-03,999.0,999.0,969.950012,973.200012,859.99292,455664.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-01-04,975.0,982.5,959.0,964.150024,851.995605,798963.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-01-07,952.0,970.0,952.0,963.75,851.642212,683162.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-01-08,965.0,970.0,936.0,939.799988,830.478027,644368.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-01-09,944.900024,1055.0,912.5,924.75,817.178772,601337.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-01-10,931.0,941.75,905.049988,909.200012,803.437683,510754.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-01-11,927.0,927.0,888.0,899.700012,795.042664,857643.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-01-14,899.700012,909.0,840.0,863.450012,763.009583,698561.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-01-15,873.950012,881.349976,852.0,871.349976,769.990479,1000759.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-01-16,868.0,868.0,827.0,847.700012,749.091736,558884.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-01-17,855.0,894.900024,842.150024,864.799988,764.202454,602636.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-01-18,860.0,865.549988,835.099976,842.0,744.054749,444882.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-01-21,824.0,834.5,755.049988,803.200012,709.768066,614102.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-01-22,780.0,840.0,700.0,807.049988,713.170227,949563.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-01-23,835.0,859.0,785.0,826.150024,730.048462,777635.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-01-24,850.0,850.0,761.0,788.75,696.999023,1045605.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-01-25,823.0,845.0,794.0,833.700012,736.720215,563334.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-01-28,775.049988,874.0,775.049988,864.700012,764.113953,358055.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-01-29,870.0,881.0,816.299988,863.0,762.611816,739339.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-01-30,863.0,863.0,863.0,863.0,762.611816,0.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-01-31,843.0,864.799988,825.0,850.200012,751.300903,702863.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-02-01,833.150024,918.0,826.0,905.75,800.388977,425624.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-02-04,920.0,923.900024,891.200012,897.349976,792.966125,773011.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-02-05,912.0,920.0,869.0,872.599976,771.095154,296903.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-02-06,855.099976,860.0,827.0,832.25,735.438782,400676.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-02-07,845.0,845.0,790.0,800.0,706.940308,549229.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-02-08,802.0,814.0,780.099976,805.75,712.021362,588532.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-02-11,805.75,850.0,775.0,813.349976,718.737427,467655.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-02-12,815.400024,827.0,796.25,807.700012,713.744629,313845.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-02-13,812.0,824.950012,802.150024,817.25,722.183777,394845.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-02-14,821.099976,845.0,820.0,829.200012,732.743774,245041.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-02-15,825.0,829.0,805.0,812.450012,717.942017,658133.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-02-18,830.0,830.0,801.0,806.200012,712.419067,212449.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
2008-02-19,813.0,819.0,805.150024,809.400024,715.246887,394126.0,Maruti Suzuki India Ltd,2008,3.1,3.8,8.3
